"id";"symbol";"timestamp";"tradingDay";"open";"high";"low";"close";"volume";"createdAt";"updatedAt"
1;"AAPL";"2018-05-01T00:00:00-04:00";"2018-05-01";165.1914;167.961;164.0598;167.8617;53964468;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
2;"AAPL";"2018-05-02T00:00:00-04:00";"2018-05-02";173.9468;176.4484;172.5273;175.277;67030144;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
3;"AAPL";"2018-05-03T00:00:00-04:00";"2018-05-03";174.5921;176.2002;173.1626;175.5947;34319412;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
4;"AAPL";"2018-05-04T00:00:00-04:00";"2018-05-04";176.9447;182.9008;176.8653;182.4839;56615884;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
5;"AAPL";"2018-05-07T00:00:00-04:00";"2018-05-07";183.824;186.2957;183.3971;183.8041;42764552;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
6;"AAPL";"2018-05-08T00:00:00-04:00";"2018-05-08";183.6354;184.8564;182.3201;184.6876;28612220;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
7;"AAPL";"2018-05-09T00:00:00-04:00";"2018-05-09";185.1839;186.0277;183.8637;185.988;23382424;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
8;"AAPL";"2018-05-10T00:00:00-04:00";"2018-05-10";186.3652;188.976;186.2759;188.6484;28195670;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
9;"AAPL";"2018-05-11T00:00:00-04:00";"2018-05-11";188.8278;189.3958;186.7949;187.9309;26304130;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
10;"AAPL";"2018-05-14T00:00:00-04:00";"2018-05-14";188.3494;188.8676;187.2035;187.4924;20851574;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
11;"AAPL";"2018-05-15T00:00:00-04:00";"2018-05-15";186.1272;186.4162;184.4531;185.7884;23778202;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
12;"AAPL";"2018-05-16T00:00:00-04:00";"2018-05-16";185.4197;187.8014;185.35;187.5223;19250276;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
13;"AAPL";"2018-05-17T00:00:00-04:00";"2018-05-17";187.343;188.2498;185.7087;186.3365;17354652;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
14;"AAPL";"2018-05-18T00:00:00-04:00";"2018-05-18";186.5358;187.1536;185.4795;185.6589;18361872;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
15;"AAPL";"2018-05-21T00:00:00-04:00";"2018-05-21";187.343;188.6085;186.2568;186.9743;18465234;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
16;"AAPL";"2018-05-22T00:00:00-04:00";"2018-05-22";187.7216;188.2199;186.1272;186.5059;15294151;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
17;"AAPL";"2018-05-23T00:00:00-04:00";"2018-05-23";185.6987;187.8412;185.1108;187.7017;20128748;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
18;"AAPL";"2018-05-24T00:00:00-04:00";"2018-05-24";188.1103;188.18;185.5592;187.4924;23315384;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
19;"AAPL";"2018-05-25T00:00:00-04:00";"2018-05-25";187.5722;188.9872;186.9942;187.9209;17522138;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
20;"AAPL";"2018-05-29T00:00:00-04:00";"2018-05-29";186.9444;188.0903;186.2169;187.2433;22592960;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
21;"AAPL";"2018-05-30T00:00:00-04:00";"2018-05-30";187.0639;187.343;186.1272;186.8447;18756050;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
