"id";"symbol";"timestamp";"tradingDay";"open";"high";"low";"close";"volume";"createdAt";"updatedAt"
1;"FB";"2018-05-01T00:00:00-04:00";"2018-05-01";172.0;174.02;170.23;173.86;26025900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
2;"FB";"2018-05-02T00:00:00-04:00";"2018-05-02";174.25;178.08;174.2;176.07;30424400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
3;"FB";"2018-05-03T00:00:00-04:00";"2018-05-03";175.13;176.12;172.12;174.02;24026000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
4;"FB";"2018-05-04T00:00:00-04:00";"2018-05-04";173.08;176.98;173.06;176.61;17677800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
5;"FB";"2018-05-07T00:00:00-04:00";"2018-05-07";177.35;179.5;177.17;177.97;18697100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
6;"FB";"2018-05-08T00:00:00-04:00";"2018-05-08";178.25;179.04;177.11;178.92;15577200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
7;"FB";"2018-05-09T00:00:00-04:00";"2018-05-09";179.67;183.01;178.78;182.66;23282800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
8;"FB";"2018-05-10T00:00:00-04:00";"2018-05-10";183.15;186.13;182.5;185.53;21071400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
9;"FB";"2018-05-11T00:00:00-04:00";"2018-05-11";184.85;188.32;184.18;186.99;21207800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
10;"FB";"2018-05-14T00:00:00-04:00";"2018-05-14";187.71;187.86;186.2;186.64;15646700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
11;"FB";"2018-05-15T00:00:00-04:00";"2018-05-15";184.88;185.29;183.2;184.32;15429400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
12;"FB";"2018-05-16T00:00:00-04:00";"2018-05-16";183.7;184.32;182.66;183.2;16975400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
13;"FB";"2018-05-17T00:00:00-04:00";"2018-05-17";182.68;184.06;182.22;183.76;14840600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
14;"FB";"2018-05-18T00:00:00-04:00";"2018-05-18";183.49;184.19;182.61;182.68;13130400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
15;"FB";"2018-05-21T00:00:00-04:00";"2018-05-21";183.77;185.3;183.13;184.49;13532800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
16;"FB";"2018-05-22T00:00:00-04:00";"2018-05-22";184.93;185.42;183.43;183.8;12731400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
17;"FB";"2018-05-23T00:00:00-04:00";"2018-05-23";182.5;186.91;182.18;186.9;16628100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
18;"FB";"2018-05-24T00:00:00-04:00";"2018-05-24";185.88;186.8;185.03;185.93;12354700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
19;"FB";"2018-05-25T00:00:00-04:00";"2018-05-25";186.02;186.33;184.45;184.92;10965000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
20;"FB";"2018-05-29T00:00:00-04:00";"2018-05-29";184.34;186.81;183.71;185.74;16398900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
21;"FB";"2018-05-30T00:00:00-04:00";"2018-05-30";186.54;188.0;185.25;187.67;13736800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
22;"FB";"2018-05-31T00:00:00-04:00";"2018-05-31";187.87;192.72;187.48;191.78;30782600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
23;"FB";"2018-06-01T00:00:00-04:00";"2018-06-01";193.065;194.549;192.07;193.99;17307200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
24;"FB";"2018-06-04T00:00:00-04:00";"2018-06-04";191.84;193.98;191.47;193.28;18939700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
25;"FB";"2018-06-05T00:00:00-04:00";"2018-06-05";194.3;195.0;192.62;192.94;15544200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
26;"FB";"2018-06-06T00:00:00-04:00";"2018-06-06";191.03;192.53;189.11;191.34;22558900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
27;"FB";"2018-06-07T00:00:00-04:00";"2018-06-07";190.75;190.97;186.77;188.18;21503100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
28;"FB";"2018-06-08T00:00:00-04:00";"2018-06-08";187.53;189.475;186.43;189.1;12677000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
29;"FB";"2018-06-11T00:00:00-04:00";"2018-06-11";188.81;192.6;188.8;191.54;12928900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
30;"FB";"2018-06-12T00:00:00-04:00";"2018-06-12";192.17;193.28;191.56;192.4;11562700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
31;"FB";"2018-06-13T00:00:00-04:00";"2018-06-13";192.74;194.5;191.91;192.41;15853800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
32;"FB";"2018-06-14T00:00:00-04:00";"2018-06-14";193.1;197.28;192.91;196.81;19120800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
33;"FB";"2018-06-15T00:00:00-04:00";"2018-06-15";195.79;197.07;194.64;195.85;21860900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
34;"FB";"2018-06-18T00:00:00-04:00";"2018-06-18";194.8;199.58;194.13;198.31;16826000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
35;"FB";"2018-06-19T00:00:00-04:00";"2018-06-19";196.24;197.96;193.79;197.49;19993900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
36;"FB";"2018-06-20T00:00:00-04:00";"2018-06-20";199.1;203.55;198.805;202.0;28230900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
37;"FB";"2018-06-21T00:00:00-04:00";"2018-06-21";202.76;203.39;200.09;201.5;19045700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
38;"FB";"2018-06-22T00:00:00-04:00";"2018-06-22";201.16;202.24;199.31;201.74;17420100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
39;"FB";"2018-06-25T00:00:00-04:00";"2018-06-25";200.0;200.0;193.11;196.35;25275100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
40;"FB";"2018-06-26T00:00:00-04:00";"2018-06-26";197.6;199.1;196.23;199.0;17897500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
41;"FB";"2018-06-27T00:00:00-04:00";"2018-06-27";199.18;200.75;195.8;195.84;18734400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
42;"FB";"2018-06-28T00:00:00-04:00";"2018-06-28";195.18;197.34;193.26;196.23;18172400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
43;"FB";"2018-06-29T00:00:00-04:00";"2018-06-29";197.32;197.6;193.955;194.32;15811600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
44;"FB";"2018-07-02T00:00:00-04:00";"2018-07-02";193.37;197.45;192.22;197.36;13961500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
45;"FB";"2018-07-03T00:00:00-04:00";"2018-07-03";194.55;195.4;192.52;192.73;13489500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
46;"FB";"2018-07-05T00:00:00-04:00";"2018-07-05";194.74;198.65;194.03;198.45;19684100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
47;"FB";"2018-07-06T00:00:00-04:00";"2018-07-06";198.45;203.64;197.7;203.23;19740100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
48;"FB";"2018-07-09T00:00:00-04:00";"2018-07-09";204.93;205.8;202.12;204.74;18149400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
49;"FB";"2018-07-10T00:00:00-04:00";"2018-07-10";204.5;204.91;202.26;203.54;13190000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
50;"FB";"2018-07-11T00:00:00-04:00";"2018-07-11";202.22;204.5;201.75;202.54;12927300;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
51;"FB";"2018-07-12T00:00:00-04:00";"2018-07-12";203.43;207.08;203.19;206.92;15454700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
52;"FB";"2018-07-13T00:00:00-04:00";"2018-07-13";207.81;208.43;206.45;207.32;11503400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
53;"FB";"2018-07-16T00:00:00-04:00";"2018-07-16";207.5;208.72;206.84;207.23;11078200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
54;"FB";"2018-07-17T00:00:00-04:00";"2018-07-17";204.9;210.46;204.84;209.99;15349800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
55;"FB";"2018-07-18T00:00:00-04:00";"2018-07-18";209.82;210.99;208.44;209.36;15334900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
56;"FB";"2018-07-19T00:00:00-04:00";"2018-07-19";208.77;209.99;207.76;208.09;11350400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
