"id";"symbol";"timestamp";"tradingDay";"open";"high";"low";"close";"volume";"createdAt";"updatedAt"
1;"AMZN";"2018-05-01T00:00:00-04:00";"2018-05-01";1563.22;1585.0;1552.18;1582.26;4572000;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
2;"AMZN";"2018-05-02T00:00:00-04:00";"2018-05-02";1580.98;1588.5;1566.36;1569.68;4360200;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
3;"AMZN";"2018-05-03T00:00:00-04:00";"2018-05-03";1560.01;1574.8;1546.02;1572.075;4251900;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
4;"AMZN";"2018-05-04T00:00:00-04:00";"2018-05-04";1562.45;1584.9;1562.19;1580.95;3443500;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
5;"AMZN";"2018-05-07T00:00:00-04:00";"2018-05-07";1589.34;1606.95;1587.83;1600.14;3801800;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
6;"AMZN";"2018-05-08T00:00:00-04:00";"2018-05-08";1595.0;1596.88;1582.51;1592.39;3067900;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
7;"AMZN";"2018-05-09T00:00:00-04:00";"2018-05-09";1600.0;1608.0;1592.0;1608.0;3637300;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
8;"AMZN";"2018-05-10T00:00:00-04:00";"2018-05-10";1608.48;1615.6;1603.44;1609.08;2817400;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
9;"AMZN";"2018-05-11T00:00:00-04:00";"2018-05-11";1610.99;1611.1;1597.89;1602.91;2263900;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
10;"AMZN";"2018-05-14T00:00:00-04:00";"2018-05-14";1604.0;1611.18;1600.05;1601.54;2509400;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
11;"AMZN";"2018-05-15T00:00:00-04:00";"2018-05-15";1587.8;1587.805;1565.22;1576.12;5077400;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
12;"AMZN";"2018-05-16T00:00:00-04:00";"2018-05-16";1577.5;1594.43;1576.67;1587.28;2570500;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
13;"AMZN";"2018-05-17T00:00:00-04:00";"2018-05-17";1580.56;1594.04;1573.0;1581.76;2147600;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
14;"AMZN";"2018-05-18T00:00:00-04:00";"2018-05-18";1581.33;1583.59;1572.1;1574.37;2642500;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
15;"AMZN";"2018-05-21T00:00:00-04:00";"2018-05-21";1585.0;1592.05;1575.0;1585.46;2925200;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
16;"AMZN";"2018-05-22T00:00:00-04:00";"2018-05-22";1589.89;1589.89;1575.25;1581.4;2115600;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
17;"AMZN";"2018-05-23T00:00:00-04:00";"2018-05-23";1571.05;1601.86;1566.34;1601.86;3361800;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
18;"AMZN";"2018-05-24T00:00:00-04:00";"2018-05-24";1598.03;1608.24;1588.38;1603.07;3429900;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
19;"AMZN";"2018-05-25T00:00:00-04:00";"2018-05-25";1603.0;1614.12;1600.45;1610.15;2698400;"2018-10-31 14:34:38";"2018-10-31 14:34:38"
